"","Display","Sample","Abundance","Sum",".Group"
"45","Proteobacteria; Enterobacterales; Photobacterium; ASV_2","4-60B-Prec",1.63245747616503,4.60155208368945,"60"
"46","Proteobacteria; Enterobacterales; Photobacterium; ASV_48","17-35B-Prec",0.00256427789934354,0.00512855579868709,"35"
"47","Proteobacteria; Enterobacterales; Photobacterium; ASV_48","19-35A-Prec",0.00256427789934354,0,"35"
"48","Proteobacteria; Enterobacterales; Photobacterium; ASV_48","2-60C-Prec",0.768317466860176,0,"60"
"49","Proteobacteria; Enterobacterales; Photobacterium; ASV_48","21-60A-Prec",0.768317466860176,1.29302118455372,"60"
"50","Proteobacteria; Enterobacterales; Photobacterium; ASV_48","4-60B-Prec",0.768317466860176,1.0119312160268,"60"
"51","Proteobacteria; Enterobacterales; Photobacterium; ASV_63","17-35B-Prec",0.000854759299781182,0.00170951859956236,"35"
"52","Proteobacteria; Enterobacterales; Photobacterium; ASV_63","19-35A-Prec",0.000854759299781182,0,"35"
"53","Proteobacteria; Enterobacterales; Photobacterium; ASV_63","2-60C-Prec",0.516806237877684,0,"60"
"54","Proteobacteria; Enterobacterales; Photobacterium; ASV_63","21-60A-Prec",0.516806237877684,0.753864749666009,"60"
"55","Proteobacteria; Enterobacterales; Photobacterium; ASV_63","4-60B-Prec",0.516806237877684,0.796553963967044,"60"
"56","Proteobacteria; Enterobacterales; Thaumasiovibrio; ASV_3","17-35B-Prec",28.5578963358185,1.60694748358862,"35"
"57","Proteobacteria; Enterobacterales; Thaumasiovibrio; ASV_3","19-35A-Prec",28.5578963358185,55.5088451880484,"35"
"58","Proteobacteria; Enterobacterales; Thaumasiovibrio; ASV_3","2-60C-Prec",20.6768302632877,22.7604044204091,"60"
"59","Proteobacteria; Enterobacterales; Thaumasiovibrio; ASV_3","21-60A-Prec",20.6768302632877,30.9148164641517,"60"
"60","Proteobacteria; Enterobacterales; Thaumasiovibrio; ASV_3","4-60B-Prec",20.6768302632877,8.35526990530238,"60"
"61","Proteobacteria; Enterobacterales; Thaumasiovibrio; ASV_39","17-35B-Prec",0.274377735229759,0.548755470459519,"35"
"62","Proteobacteria; Enterobacterales; Thaumasiovibrio; ASV_39","19-35A-Prec",0.274377735229759,0,"35"
"63","Proteobacteria; Enterobacterales; Thaumasiovibrio; ASV_39","2-60C-Prec",0.00323722713291018,0.00470256289677874,"60"
"64","Proteobacteria; Enterobacterales; Thaumasiovibrio; ASV_39","21-60A-Prec",0.00323722713291018,0.00159043196132069,"60"
"65","Proteobacteria; Enterobacterales; Thaumasiovibrio; ASV_39","4-60B-Prec",0.00323722713291018,0.00341868654063109,"60"
"66","Proteobacteria; Enterobacterales; Vibrio; ASV_21","17-35B-Prec",0,0,"35"
"67","Proteobacteria; Enterobacterales; Vibrio; ASV_21","19-35A-Prec",0,0,"35"
"68","Proteobacteria; Enterobacterales; Vibrio; ASV_21","2-60C-Prec",3.37979599619626,4.32635786503644,"60"
"69","Proteobacteria; Enterobacterales; Vibrio; ASV_21","21-60A-Prec",3.37979599619626,1.42343660538202,"60"
"70","Proteobacteria; Enterobacterales; Vibrio; ASV_21","4-60B-Prec",3.37979599619626,4.38959351817032,"60"
"71","Proteobacteria; Enterobacterales; Vibrio; ASV_227","17-35B-Prec",0,0,"35"
"72","Proteobacteria; Enterobacterales; Vibrio; ASV_227","19-35A-Prec",0,0,"35"
"73","Proteobacteria; Enterobacterales; Vibrio; ASV_227","2-60C-Prec",0.159582232285088,0.235128144838937,"60"
"74","Proteobacteria; Enterobacterales; Vibrio; ASV_227","21-60A-Prec",0.159582232285088,0.0795215980660347,"60"
"75","Proteobacteria; Enterobacterales; Vibrio; ASV_227","4-60B-Prec",0.159582232285088,0.164096953950292,"60"
"76","Proteobacteria; Enterobacterales; Vibrio; ASV_237","17-35B-Prec",0,0,"35"
"77","Proteobacteria; Enterobacterales; Vibrio; ASV_237","19-35A-Prec",0,0,"35"
"78","Proteobacteria; Enterobacterales; Vibrio; ASV_237","2-60C-Prec",0.160700174194757,0.305666588290618,"60"
"79","Proteobacteria; Enterobacterales; Vibrio; ASV_237","21-60A-Prec",0.160700174194757,0.0636172784528278,"60"
"80","Proteobacteria; Enterobacterales; Vibrio; ASV_237","4-60B-Prec",0.160700174194757,0.112816655840826,"60"
"81","Proteobacteria; Enterobacterales; Vibrio; ASV_5","17-35B-Prec",0.15546302239161,0.116247264770241,"35"
"82","Proteobacteria; Enterobacterales; Vibrio; ASV_5","19-35A-Prec",0.15546302239161,0.194678780012979,"35"
"83","Proteobacteria; Enterobacterales; Vibrio; ASV_5","2-60C-Prec",49.0897872327067,51.7893251822243,"60"
"84","Proteobacteria; Enterobacterales; Vibrio; ASV_5","21-60A-Prec",49.0897872327067,46.9654558178001,"60"
"85","Proteobacteria; Enterobacterales; Vibrio; ASV_5","4-60B-Prec",49.0897872327067,48.5145806980958,"60"
"86","Proteobacteria; Enterobacterales; Vibrio; ASV_7","17-35B-Prec",2.19969229745625,4.30627735229759,"35"
"87","Proteobacteria; Enterobacterales; Vibrio; ASV_7","19-35A-Prec",2.19969229745625,0.0931072426149028,"35"
"88","Proteobacteria; Enterobacterales; Vibrio; ASV_7","2-60C-Prec",3.40449580727668,6.41899835410299,"60"
"89","Proteobacteria; Enterobacterales; Vibrio; ASV_7","21-60A-Prec",3.40449580727668,1.03219034289713,"60"
"90","Proteobacteria; Enterobacterales; Vibrio; ASV_7","4-60B-Prec",3.40449580727668,2.76229872482992,"60"
"91","Proteobacteria; Enterobacterales; Vibrio; ASV_82","17-35B-Prec",0,0,"35"
"92","Proteobacteria; Enterobacterales; Vibrio; ASV_82","19-35A-Prec",0,0,"35"
"93","Proteobacteria; Enterobacterales; Vibrio; ASV_82","2-60C-Prec",0.709659074540328,1.42487655772396,"60"
"94","Proteobacteria; Enterobacterales; Vibrio; ASV_82","21-60A-Prec",0.709659074540328,0.413512309943381,"60"
"95","Proteobacteria; Enterobacterales; Vibrio; ASV_82","4-60B-Prec",0.709659074540328,0.290588355953643,"60"
"96","Proteobacteria; Enterobacterales; Vibrio; ASV_87","17-35B-Prec",0.00453095019395336,0.00341903719912473,"35"
"97","Proteobacteria; Enterobacterales; Vibrio; ASV_87","19-35A-Prec",0.00453095019395336,0.00564286318878199,"35"
"98","Proteobacteria; Enterobacterales; Vibrio; ASV_87","2-60C-Prec",0.341238152738614,0.0470256289677874,"60"
"99","Proteobacteria; Enterobacterales; Vibrio; ASV_87","21-60A-Prec",0.341238152738614,0.631401488644316,"60"
"100","Proteobacteria; Enterobacterales; Vibrio; ASV_87","4-60B-Prec",0.341238152738614,0.34528734060374,"60"
"101","Proteobacteria; Enterobacterales; Vibrionaceae_X; ASV_17","17-35B-Prec",4.63420139378721,0,"35"
"102","Proteobacteria; Enterobacterales; Vibrionaceae_X; ASV_17","19-35A-Prec",4.63420139378721,9.26840278757441,"35"
"103","Proteobacteria; Enterobacterales; Vibrionaceae_X; ASV_17","2-60C-Prec",0.00262780893980671,0.00470256289677874,"60"
"104","Proteobacteria; Enterobacterales; Vibrionaceae_X; ASV_17","21-60A-Prec",0.00262780893980671,0.00318086392264139,"60"
"105","Proteobacteria; Enterobacterales; Vibrionaceae_X; ASV_17","4-60B-Prec",0.00262780893980671,0,"60"
"106","Proteobacteria; Rhodobacterales; Leisingera; ASV_14","17-35B-Prec",0.0014107157971955,0,"35"
"107","Proteobacteria; Rhodobacterales; Leisingera; ASV_14","19-35A-Prec",0.0014107157971955,0.00282143159439099,"35"
