	1-9A-Ant	10-36B-Fluid	11-QC-Post	12-60C-Ant	13-35A-Ant	14-35B-Ant	15-9B-Ant	16-9B-Post	17-35B-Prec	18-35B-Post	19-35A-Prec	2-60C-Prec	20-35C-Post	21-60A-Prec	22-60B-Post	23-9A-Post	24-60B-Ant	25-35C-Ant	26-9C-Ant	27-9C-Fluid	29-4-60B-Water	3-60A-Post	30-1-35A-Water	31-3-9A-Water	32-8-60C-Water	33-2-60A-Water	34-6-9B-Water	4-60B-Prec	40-35C-Fluid	42-35A-Fluid	43-9B-Fluid	46-Blank-Blank	5-36A-Post	6-9A-Fluid	7-60C-Post	8-60B-Fluid	9-60A-Ant	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	0	17463	1817	100	4	47	11	1570	1080	1221	1379	1522	1085	6400	2907	611	24	2	0	8091	3	137	5	1	9	8	14	2555	16628	5656	11630	0	186	4724	941	550	27	Bacteria	Spirochaetota	Brevinematia	Brevinematales	Brevinemataceae	Brevinema	NA
ASV_2	0	33266	6	5	2	443	0	1	46649	139	2	0	0	186	0	0	0	0	0	2366	360	0	1	6	1	16	35	1346	0	0	1	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Photobacterium	damselae
ASV_3	251	2669	19	8554	301	1273	1809	549	940	186	19674	4840	4	19438	6	129	78	897	610	5665	2	1	1	3	2	39	2	2444	2663	39	1784	119	0	3895	49	0	99	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Thaumasiovibrio	NA
ASV_4	376	550	261	4915	7076	1225	8590	339	193	1423	3663	326	8	2294	14	6	4944	11338	4198	4817	0	3	2	1	0	0	7	5216	177	97	1393	1361	32	638	154	35	1200	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	NA
ASV_5	0	1197	1	21	1	0	0	0	68	10	69	11013	0	29530	0	0	0	0	0	5776	189	3	13	10	36	154	699	14191	28	0	10	1	0	4	4	71	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA
ASV_6	3	155	440	12	1	0	6	4394	3	2	673	0	357	115	16	3	0	1	0	429	2	4	6	1	2	2	9	113	413	6007	7844	0	2836	0	5	12	94	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA	NA
ASV_7	0	2424	5	2	0	201	0	1	2519	42	33	1365	0	649	0	8	1	0	0	1837	33	0	5	266	18	14	74	808	0	0	1	0	0	11590	0	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA
ASV_8	0	0	0	102	1	2	0	0	0	0	6	63	0	141	1	0	0	0	0	2	1773	0	2328	5333	2095	1372	5685	0	0	0	3	3	0	1	0	0	6	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	NA
ASV_9	1	1	0	3	5	0	1	16	0	1	2905	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	2	12002	200	0	1366	2	1	0	57	Bacteria	Spirochaetota	Brevinematia	Brevinematales	Brevinemataceae	Brevinema	NA
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	673	0	3296	6215	698	629	17	0	0	0	2	1	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	validus
ASV_11	0	8227	0	1	0	3	0	0	1529	93	0	1	0	9	0	0	0	0	0	0	5	0	0	0	0	0	37	12	0	1	0	0	0	0	4	0	0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Epulopiscium	NA
ASV_12	0	0	0	18	0	0	0	0	0	0	0	48	0	171	0	0	0	0	0	0	1581	0	3	919	2814	2253	878	45	0	0	2	3	0	0	0	1	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Nautella	NA
ASV_13	0	0	0	1	0	0	0	0	0	0	0	3	0	24	0	0	0	0	0	0	2269	0	30	1266	34	318	4587	53	0	0	0	4	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	NA
ASV_14	0	0	0	5	0	0	0	0	0	0	1	20	0	184	0	0	0	0	0	0	1134	0	299	1483	682	2022	754	47	0	0	0	2	0	0	0	1	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Leisingera	NA
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	2218	2265	144	707	156	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus	NA
ASV_16	0	7	0	0	0	210	0	0	4375	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	morganii
ASV_17	0	1	0	2	45	0	1	0	0	0	3285	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	NA	NA
ASV_18	0	0	0	0	56	0	0	0	0	0	3193	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA	NA
ASV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2214	0	0	970	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3053	0	0	141	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	Methylophaga	NA
ASV_21	0	0	0	10	0	0	0	0	0	0	0	920	0	895	0	0	0	0	1	0	33	0	1	5	16	8	4	1284	0	0	0	0	0	1	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA
ASV_22	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	22	30	2	3056	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia-Loktanella	NA
ASV_23	0	654	0	109	4	71	86	21	741	14	511	273	0	44	0	0	0	12	8	105	0	0	0	0	0	6	16	0	91	1	29	2	0	0	0	0	4	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA
ASV_24	0	0	0	2	0	0	0	0	0	0	0	5	0	117	0	0	0	1	0	0	278	0	1	28	595	1587	15	7	0	0	1	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Epibacterium	NA
ASV_25	0	1	0	5	0	0	0	0	0	0	3	1	0	3	0	0	0	0	0	0	85	0	2164	84	55	84	53	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	NA
ASV_26	0	0	0	7	0	0	0	0	0	0	1	5	0	6	0	0	0	0	0	1	198	0	1539	321	99	172	69	0	0	0	0	1	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	NA
ASV_27	0	0	0	0	0	0	0	0	0	0	3	3	0	6	0	0	0	0	0	0	158	0	1328	145	129	256	370	0	0	1	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	NA
ASV_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1362	0	0	959	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Litorimicrobium	NA
ASV_29	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	36	0	557	1476	25	43	81	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae1	Alcanivorax	NA
ASV_30	0	0	0	44	0	0	0	0	0	0	0	15	0	5	0	0	0	0	0	0	30	0	0	4	1905	57	4	0	0	0	1	0	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Marixanthomonas	NA
ASV_31	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	1	178	0	3	1505	71	58	177	5	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	NA
ASV_32	0	0	0	0	0	0	0	0	0	0	0	4	0	21	0	0	0	1	0	0	486	0	11	1	774	634	0	3	0	0	2	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_33	50	38	101	267	67	70	17	23	11	32	13	26	36	55	88	128	109	110	130	21	0	25	0	0	0	0	0	72	0	43	82	41	102	51	57	0	29	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1485	0	1	356	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	Methylophaga	NA
ASV_35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1841	0	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	NA	NA
ASV_36	0	0	0	77	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	364	0	2	3	743	639	0	0	0	0	2	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Saccharospirillaceae	Bermanella	NA
ASV_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1807	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	WCHB1-32	NA
ASV_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1734	0	Bacteria	Latescibacterota	NA	NA	NA	NA	NA
ASV_39	0	859	0	0	0	445	0	0	321	56	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Thaumasiovibrio	NA
ASV_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1666	0	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter	postgatei
ASV_41	0	0	0	6	0	0	0	0	0	0	0	11	0	57	0	0	0	0	0	0	224	0	7	17	614	665	39	2	0	0	0	0	0	0	0	0	2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	NA
ASV_42	0	0	0	2	0	0	0	0	0	0	0	4	0	69	0	0	0	0	0	0	107	0	3	3	100	1346	0	0	0	0	0	0	0	0	0	0	6	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas	NA
ASV_43	0	0	0	5	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	23	0	1492	58	15	24	13	0	1	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	NA
ASV_44	0	0	0	7	0	1	0	1	0	0	1	4	0	7	0	0	0	0	0	0	111	0	938	272	104	97	44	1	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	NA
ASV_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1366	2	2	190	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_46	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0	169	76	67	26	1182	0	0	0	1	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Halioxenophilus	aromaticivorans
ASV_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1512	0	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfatirhabdium	NA
ASV_48	0	42	0	0	0	0	0	0	3	0	0	0	0	813	0	0	0	0	0	243	29	0	1	7	0	19	45	296	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Photobacterium	aphoticum
ASV_49	0	0	0	0	0	0	0	0	0	0	1	6	0	2	0	0	0	0	0	1	84	0	1036	148	66	84	57	1	0	2	0	1	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade III	NA	NA
ASV_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	618	650	29	104	6	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	NA
ASV_51	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	948	0	2	133	12	31	282	2	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Mesoflavibacter	NA
ASV_52	0	0	0	10	0	0	0	0	0	0	0	4	0	11	0	0	0	0	0	0	151	0	17	220	123	289	543	0	0	0	0	0	0	0	0	0	0	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA
ASV_53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1313	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	NA	NA
ASV_54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1244	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	NA	NA
ASV_55	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	0	2	486	349	0	0	0	0	1	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Oceanospirillaceae	Oceanospirillum	NA
ASV_56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	977	202	6	10	7	1	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella	NA
ASV_57	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	69	0	741	97	66	82	33	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade III	NA	NA
ASV_58	0	0	0	64	0	0	0	0	0	0	0	18	0	2	0	0	0	0	0	0	274	0	0	3	472	244	0	6	0	0	0	1	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas	ruthenica
ASV_59	0	20	0	0	0	0	0	0	3	0	0	0	0	11	0	0	0	0	0	0	417	0	0	0	0	133	456	18	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Macellibacteroides	NA
ASV_60	0	0	0	2	0	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	89	0	11	95	724	26	72	4	0	0	1	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_61	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	502	0	3	146	103	186	37	1	0	0	0	0	0	0	0	0	0	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA
ASV_62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	984	0	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	NA	NA
ASV_63	0	35	0	0	0	0	0	0	1	0	0	0	0	474	0	0	0	0	0	158	26	0	1	5	0	9	29	233	0	0	0	0	0	0	0	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Photobacterium	NA
ASV_64	0	0	0	0	0	0	0	0	1	0	0	1	0	6	0	0	0	0	0	0	662	0	1	11	100	124	56	0	0	0	0	4	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	Parvibaculaceae	Pyruvatibacter	mobilis
ASV_65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	947	1	1	9	1	0	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	NA	NA
ASV_66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963	0	Bacteria	Latescibacterota	NA	NA	NA	NA	NA
ASV_67	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	55	0	649	100	46	69	27	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade III	NA	NA
ASV_68	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	17	0	881	3	23	13	6	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	NA
ASV_69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	130	2	0	742	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	ishigakiensis
ASV_70	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	NA
ASV_71	0	0	0	0	0	0	0	0	0	0	0	4	0	11	0	0	0	0	0	0	218	0	0	2	351	291	6	4	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pelagibaca	NA
ASV_72	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0	820	0	15	16	2	1	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade	NA
ASV_73	0	0	0	41	0	0	0	0	0	0	0	12	0	16	0	0	0	0	0	0	137	0	67	5	273	295	16	2	0	0	1	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Maricurvus	nonylphenolicus
ASV_74	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	45	0	455	66	42	64	179	1	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	NA
ASV_75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838	0	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	TPD-58	NA
ASV_76	0	0	0	2	0	0	0	0	0	0	0	7	0	10	0	0	0	0	0	0	302	0	24	29	275	123	34	7	0	0	0	2	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudooceanicola	NA
ASV_77	0	770	0	0	0	2	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Epulopiscium	NA
ASV_78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	3	389	0	0	319	0	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS3a marine group	NA
ASV_79	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	752	5	6	6	3	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	750	0	7	3	1	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_81	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	75	0	2	439	41	33	133	1	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Leisingera	NA
ASV_82	0	0	0	0	0	0	0	0	0	0	0	303	0	260	0	0	0	0	0	0	26	0	2	4	12	16	1	85	0	0	0	0	0	4	0	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA
ASV_83	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	704	0	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Hypnocyclicus	NA
ASV_84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	691	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	WCHB1-32	NA
ASV_85	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	31	0	431	128	33	32	31	0	0	1	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	NA	NA
ASV_86	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	674	0	5	2	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cognatishimia	NA
ASV_87	0	59	0	0	0	0	0	0	2	1	2	10	0	397	0	0	0	0	0	91	1	0	1	0	0	0	10	101	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA
ASV_88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Macellibacteroides	NA
ASV_89	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	36	0	611	2	3	5	1	1	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cognatishimia	NA
ASV_90	0	84	16	0	0	0	1	7	21	297	0	0	0	66	9	38	0	9	0	18	0	35	0	0	0	0	1	0	3	0	1	0	0	11	0	0	1	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	NA	NA
ASV_91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	18	3	0	585	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphomonas	NA
ASV_92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus	NA
ASV_93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583	0	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	NA	NA
ASV_94	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	473	10	40	22	8	0	0	0	0	0	0	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	NA
ASV_95	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	23	0	431	44	25	35	15	1	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade III	NA	NA
ASV_96	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	479	0	3	0	23	63	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus	NA
ASV_97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	437	1	1	129	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marivivens	donghaensis
ASV_98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Marinobacterium	NA
ASV_99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	270	5	14	254	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	NA	NA
ASV_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	0	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfurivibrionaceae	MSBL7	NA
ASV_101	0	0	0	5	0	0	0	0	0	0	0	5	0	10	0	0	0	0	0	0	64	0	0	4	167	250	20	3	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	NA
ASV_102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527	0	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Geothrix	NA
